,Predicted_Passengers,Lower_CI,Upper_CI
2026-01-01,7766.20305653016,7315.316687417047,8217.089425643273
2026-02-01,7513.371234724949,7038.37394249498,7988.368526954919
2026-03-01,7950.906877093583,7455.51237583107,8446.301378356095
2026-04-01,7904.437487348143,7331.868098584829,8477.006876111456
2026-05-01,8765.056099835747,8160.740811745264,9369.371387926229
2026-06-01,7875.8149276365675,7243.011046178904,8508.61880909423
2026-07-01,7929.596071528019,7254.498575872284,8604.693567183755
2026-08-01,6992.031103587347,6286.187394024222,7697.874813150473
2026-09-01,8186.613179787916,7452.046368352183,8921.17999122365
2026-10-01,9017.45805641375,8251.007357140174,9783.908755687327
2026-11-01,8440.896853633523,7646.268777388667,9235.524929878378
2026-12-01,7753.431734009768,6931.877913886365,8574.98555413317
