Date,Original,series_hw,series_stl_low,series_stl_high
2012-01-01,4788.0,4788.0,4788.0,4788.0
2012-02-01,4374.0,4374.0,4374.0,4374.0
2012-03-01,4555.0,4555.0,4555.0,4555.0
2012-04-01,4306.0,4306.0,4306.0,4306.0
2012-05-01,5286.0,5286.0,5286.0,5286.0
2012-06-01,4405.0,4405.0,4405.0,4405.0
2012-07-01,4224.0,4224.0,4224.0,4224.0
2012-08-01,3392.0,3392.0,3392.0,3392.0
2012-09-01,4555.0,4555.0,4555.0,4555.0
2012-10-01,5244.0,5244.0,5244.0,5244.0
2012-11-01,4754.0,4754.0,4754.0,4754.0
2012-12-01,4239.0,4239.0,4239.0,4239.0
2013-01-01,4633.0,4633.0,4633.0,4633.0
2013-02-01,4337.0,4337.0,4337.0,4337.0
2013-03-01,4555.0,4555.0,4555.0,4555.0
2013-04-01,4963.0,4963.0,4963.0,4963.0
2013-05-01,5421.0,5421.0,5421.0,5421.0
2013-06-01,4405.0,4405.0,4405.0,4405.0
2013-07-01,4457.0,4457.0,4457.0,4457.0
2013-08-01,3468.0,3468.0,3468.0,3468.0
2013-09-01,4555.0,4555.0,4555.0,4555.0
2013-10-01,5498.0,5498.0,5498.0,5498.0
2013-11-01,5072.0,5072.0,5072.0,5072.0
2013-12-01,4566.0,4566.0,4566.0,4566.0
2014-01-01,4602.0,4602.0,4602.0,4602.0
2014-02-01,4376.0,4376.0,4376.0,4376.0
2014-03-01,4920.0,4920.0,4920.0,4920.0
2014-04-01,4617.0,4617.0,4617.0,4617.0
2014-05-01,5268.0,5268.0,5268.0,5268.0
2014-06-01,4608.0,4608.0,4608.0,4608.0
2014-07-01,4682.0,4682.0,4682.0,4682.0
2014-08-01,3565.0,3565.0,3565.0,3565.0
2014-09-01,4905.0,4905.0,4905.0,4905.0
2014-10-01,5617.0,5617.0,5617.0,5617.0
2014-11-01,4943.0,4943.0,4943.0,4943.0
2014-12-01,4821.0,4821.0,4821.0,4821.0
2015-01-01,4554.0,4554.0,4554.0,4554.0
2015-02-01,4215.0,4215.0,4215.0,4215.0
2015-03-01,5093.0,5093.0,5093.0,5093.0
2015-04-01,4825.0,4825.0,4825.0,4825.0
2015-05-01,5171.0,5171.0,5171.0,5171.0
2015-06-01,4918.0,4918.0,4918.0,4918.0
2015-07-01,4772.0,4772.0,4772.0,4772.0
2015-08-01,3738.0,3738.0,3738.0,3738.0
2015-09-01,4943.0,4943.0,4943.0,4943.0
2015-10-01,5566.0,5566.0,5566.0,5566.0
2015-11-01,5212.0,5212.0,5212.0,5212.0
2015-12-01,4731.0,4731.0,4731.0,4731.0
2016-01-01,4554.0,4554.0,4554.0,4554.0
2016-02-01,4466.0,4466.0,4466.0,4466.0
2016-03-01,4879.0,4879.0,4879.0,4879.0
2016-04-01,4950.0,4950.0,4950.0,4950.0
2016-05-01,5323.0,5323.0,5323.0,5323.0
2016-06-01,4916.0,4916.0,4916.0,4916.0
2016-07-01,4580.0,4580.0,4580.0,4580.0
2016-08-01,3895.0,3895.0,3895.0,3895.0
2016-09-01,4974.0,4974.0,4974.0,4974.0
2016-10-01,5320.0,5320.0,5320.0,5320.0
2016-11-01,5267.0,5267.0,5267.0,5267.0
2016-12-01,5320.0,5320.0,5320.0,5320.0
2017-01-01,4923.0,4923.0,4923.0,4923.0
2017-02-01,4595.0,4595.0,4595.0,4595.0
2017-03-01,5493.0,5493.0,5493.0,5493.0
2017-04-01,4707.0,4707.0,4707.0,4707.0
2017-05-01,5578.0,5578.0,5578.0,5578.0
2017-06-01,5227.0,5227.0,5227.0,5227.0
2017-07-01,4738.0,4738.0,4738.0,4738.0
2017-08-01,4113.0,4113.0,4113.0,4113.0
2017-09-01,5246.0,5246.0,5246.0,5246.0
2017-10-01,5654.0,5654.0,5654.0,5654.0
2017-11-01,5479.0,5479.0,5479.0,5479.0
2017-12-01,4839.0,4839.0,4839.0,4839.0
2018-01-01,5158.0,5158.0,5158.0,5158.0
2018-02-01,4718.0,4718.0,4718.0,4718.0
2018-03-01,5224.0,5224.0,5224.0,5224.0
2018-04-01,5087.0,5087.0,5087.0,5087.0
2018-05-01,5892.0,5892.0,5892.0,5892.0
2018-06-01,5336.0,5336.0,5336.0,5336.0
2018-07-01,4981.0,4981.0,4981.0,4981.0
2018-08-01,4266.0,4266.0,4266.0,4266.0
2018-09-01,5264.0,5264.0,5264.0,5264.0
2018-10-01,6098.0,6098.0,6098.0,6098.0
2018-11-01,5648.0,5648.0,5648.0,5648.0
2018-12-01,4975.0,4975.0,4975.0,4975.0
2019-01-01,5149.0,5149.0,5149.0,5149.0
2019-02-01,5138.0,5138.0,5138.0,5138.0
2019-03-01,5715.0,5715.0,5715.0,5715.0
2019-04-01,5630.0,5630.0,5630.0,5630.0
2019-05-01,6696.0,6696.0,6696.0,6696.0
2019-06-01,5696.0,5696.0,5696.0,5696.0
2019-07-01,5696.0,5696.0,5696.0,5696.0
2019-08-01,5114.0,5114.0,5114.0,5114.0
2019-09-01,6237.0,6237.0,6237.0,6237.0
2019-10-01,7236.0,7236.0,7236.0,7236.0
2019-11-01,6502.0,6502.0,6502.0,6502.0
2019-12-01,6231.0,6231.0,6231.0,6231.0
2020-01-01,6353.0,6353.0,6353.0,6353.0
2020-02-01,6204.0,6204.0,6204.0,6204.0
2020-03-01,2772.0,5501.808562529459,5524.962940234254,5574.72601670828
2020-04-01,2086.44262295082,5321.237346430961,5395.821073981361,5447.597660220222
2020-05-01,1423.0,5961.807616980026,6141.367932307898,6195.1580283115945
2020-06-01,2461.0,5372.663639867014,5699.620798069801,5755.424403838333
2020-07-01,3249.0,5175.381658868082,5229.53199050539,5287.349106038758
2020-08-01,3084.0,4318.66821950393,4612.274423065961,4672.105048364165
2020-09-01,3672.0,5462.235173173235,5624.047022400335,5685.891157463374
2020-10-01,3950.0,6112.949157053803,6319.554713709382,6383.412358537256
2020-11-01,3252.0,5738.382034781517,5961.73585509109,6027.6070096838
2020-12-01,2963.0,5326.3806410478965,5260.340585299895,5328.225249657441
2021-01-01,2480.0,5394.916616601684,5595.231322049592,5665.129496171973
2021-02-01,1468.0,5090.484928164326,5201.969698741499,5273.881382628716
2021-03-01,2043.0,5610.199066167964,5681.068021647553,5754.993215299605
2021-04-01,2912.0,5429.627850069467,5551.926155394659,5627.864858811547
2021-05-01,3841.0,6070.198120618532,6297.4730137211955,6375.425226902919
2021-06-01,3689.0,5481.054143505519,5855.7258794831,5935.691602429658
2021-07-01,3497.0,5283.772162506587,5385.637071918688,5467.616304630083
2021-08-01,3385.0,4427.058723142435,4768.379504479259,4852.372246955489
2021-09-01,4137.0,5570.625676811741,5780.152103813633,5866.158356054699
2021-10-01,5022.0,6221.339660692309,6475.6597951226795,6563.679557128581
2021-11-01,5242.0,5846.772538420022,6117.840936504388,6207.874208275125
2021-12-01,3988.0,5434.771144686401,5416.4456667131935,5508.492448248766
2022-01-01,3904.0,5503.30712024019,5751.336403462889,5845.396694763297
2022-02-01,4345.0,5198.875431802832,5358.074780154798,5454.148581220041
2022-03-01,5525.0,5718.589569806469,5837.173103060851,5935.26041389093
2022-04-01,5322.0,5538.018353707972,5708.031236807957,5808.132057402871
2022-05-01,6016.0,6178.588624257036,6453.578095134494,6555.692425494244
2022-06-01,5426.0,5589.444647144025,6011.830960896397,6115.958801020983
2022-07-01,5425.0,5392.162666145092,5541.742153331986,5647.883503221407
2022-08-01,4902.0,4535.44922678094,4924.484585892556,5032.639445546813
2022-09-01,5906.0,5679.016180450246,5936.257185226931,6046.425554646024
